symbol,headline
SERV_ADANIPORTS,Adani Ports reports strong quarterly results as cargo volumes rise
SERV_ADANIPORTS,Analysts expect continued growth in port operations
SERV_ADANIPORTS,Cargo handling slows down due to weather disruptions
SERV_ADANIPORTS,Adani Ports expands capacity in major terminals
SERV_ADANIPORTS,Global trade recovery boosts port activity
SERV_ADANIPORTS,Minor delay reported in export shipments
SERV_ADANIPORTS,Adani Ports announces new investment plans
SERV_ADANIPORTS,Port congestion impacts turnaround time
SERV_ADANIPORTS,Analysts upgrade stock citing strong fundamentals
SERV_ADANIPORTS,Regulatory scrutiny increases on port tariffs

CDUR_ASIANPAINT,Asian Paints launches new premium product line
CDUR_ASIANPAINT,Strong festive demand boosts paint sales
CDUR_ASIANPAINT,Input cost pressure affects margins
CDUR_ASIANPAINT,Asian Paints expands distribution network
CDUR_ASIANPAINT,Company reports record profits in Q2
CDUR_ASIANPAINT,Market faces slowdown in renovation spending
CDUR_ASIANPAINT,Analysts maintain positive outlook
CDUR_ASIANPAINT,Paint demand stabilizes after seasonal dip
CDUR_ASIANPAINT,Asian Paints increases advertisement spending
CDUR_ASIANPAINT,Minor decline in rural demand noted

FIN_AXISBANK,Axis Bank reports strong credit growth
FIN_AXISBANK,Bank launches new digital lending platform
FIN_AXISBANK,RBI flags minor concerns over asset quality
FIN_AXISBANK,Analysts predict stable earnings trajectory
FIN_AXISBANK,Axis Bank expands corporate loan book
FIN_AXISBANK,Bank sees increased competition from fintech firms
FIN_AXISBANK,Strong CASA growth supports profitability
FIN_AXISBANK,Foreign investment increases in Axis Bank
FIN_AXISBANK,Minor increase in NPAs reported
FIN_AXISBANK,Bank improves risk management systems

AUTO_BAJAJ_AUTO,Bajaj Auto reports strong export sales
AUTO_BAJAJ_AUTO,Two-wheeler demand surges in domestic market
AUTO_BAJAJ_AUTO,Supply chain issues affect production temporarily
AUTO_BAJAJ_AUTO,Bajaj launches new electric scooter
AUTO_BAJAJ_AUTO,Analysts turn bullish on growth prospects
AUTO_BAJAJ_AUTO,Production costs rise due to raw material inflation
AUTO_BAJAJ_AUTO,Exports to Latin America increase sharply
AUTO_BAJAJ_AUTO,Company faces regulatory challenges in emissions norms
AUTO_BAJAJ_AUTO,Bajaj Auto announces new manufacturing plant
AUTO_BAJAJ_AUTO,Margins expected to remain stable

TEL_BHARTIARTL,Bharti Airtel posts strong subscriber additions
TEL_BHARTIARTL,Airtel rolls out nationwide 5G upgrades
TEL_BHARTIARTL,ARPU rises for consecutive quarters
TEL_BHARTIARTL,Competition from Jio intensifies
TEL_BHARTIARTL,Airtel partners with global tech firms
TEL_BHARTIARTL,Government revises spectrum usage guidelines
TEL_BHARTIARTL,Minor network outage impacts some users
TEL_BHARTIARTL,Airtel launches new enterprise service
TEL_BHARTIARTL,Analysts maintain buy rating on Airtel
TEL_BHARTIARTL,Price war concerns emerge in telecom sector

HLTH_CIPLA,Cipla receives approval for new drug launch
HLTH_CIPLA,Company reports strong growth in US market
HLTH_CIPLA,Minor compliance issue detected at manufacturing unit
HLTH_CIPLA,Cipla expands respiratory product portfolio
HLTH_CIPLA,Analysts optimistic about long-term growth
HLTH_CIPLA,Raw material supply disruptions hit production
HLTH_CIPLA,India operations see stable demand
HLTH_CIPLA,Cipla increases investment in R&D
HLTH_CIPLA,Minor decline in API exports
HLTH_CIPLA,Cipla strengthens hospital partnerships

OILGAS_COALINDIA,Coal India reports sharp rise in production
OILGAS_COALINDIA,Fuel shortages ease as supply improves
OILGAS_COALINDIA,Environmental regulations increase operational cost
OILGAS_COALINDIA,Coal shipments surge in winter season
OILGAS_COALINDIA,Analysts maintain neutral stance
OILGAS_COALINDIA,Stock declines as global coal prices dip
OILGAS_COALINDIA,Company expands mining operations
OILGAS_COALINDIA,Worker strike impacts output temporarily
OILGAS_COALINDIA,Coal India announces new safety initiatives
OILGAS_COALINDIA,Government reviews coal allocation policy

HLTH_DRREDDY,Dr Reddy’s gets USFDA approval for key drug
HLTH_DRREDDY,Company strengthens international pipeline
HLTH_DRREDDY,Manufacturing quality issues identified at plant
HLTH_DRREDDY,Analysts expect strong earnings recovery
HLTH_DRREDDY,Dr Reddy’s launches affordable generics
HLTH_DRREDDY,Export shipments delay impacts quarterly results
HLTH_DRREDDY,R&D expenses rise this quarter
HLTH_DRREDDY,Company expands into new therapeutic segments
HLTH_DRREDDY,Analysts cut price target due to regulatory risks
HLTH_DRREDDY,Dr Reddy’s improves supply chain reliability

IT_HCLTECH,HCL Tech signs large multi-year IT deal
IT_HCLTECH,Company reports strong revenue growth
IT_HCLTECH,Attrition rates drop significantly
IT_HCLTECH,Analysts remain positive on IT sector demand
IT_HCLTECH,HCL expands cloud services portfolio
IT_HCLTECH,Employee cost pressures affect margins
IT_HCLTECH,Company wins several new European clients
IT_HCLTECH,Minor decline noted in contract renewals
IT_HCLTECH,HCL increases investment in AI services
IT_HCLTECH,Outlook remains stable for upcoming quarters

FIN_HDFCBANK,HDFC Bank reports stable loan growth
FIN_HDFCBANK,NPAs remain under control
FIN_HDFCBANK,Bank expands branch network
FIN_HDFCBANK,Analysts reaffirm buy rating
FIN_HDFCBANK,Tech glitches impact customers briefly
FIN_HDFCBANK,HDFC improves digital onboarding
FIN_HDFCBANK,Bank faces mild scrutiny from RBI
FIN_HDFCBANK,Foreign investment rises steadily
FIN_HDFCBANK,HDFC Bank maintains strong capital position
FIN_HDFCBANK,Overall earnings outlook stable

METAL_HINDALCO,Hindalco posts strong revenue growth
METAL_HINDALCO,Global aluminum prices support margins
METAL_HINDALCO,Supply chain bottlenecks affect shipments
METAL_HINDALCO,Hindalco expands capacity at new plants
METAL_HINDALCO,Analysts maintain bullish view
METAL_HINDALCO,Hindalco faces raw material inflation
METAL_HINDALCO,Exports rise sharply this quarter
METAL_HINDALCO,Company delays non-core expansion
METAL_HINDALCO,Hindalco increases ESG investments
METAL_HINDALCO,Stable demand expected in global markets

FMCG_HINDUNILVR,HUL reports strong performance this quarter
FMCG_HINDUNILVR,Company launches new FMCG products
FMCG_HINDUNILVR,Weak rural demand drags growth
FMCG_HINDUNILVR,HUL expands distribution channels
FMCG_HINDUNILVR,Analysts expect margin improvement
FMCG_HINDUNILVR,Advertising costs rise
FMCG_HINDUNILVR,Company enhances digital operations
FMCG_HINDUNILVR,HUL faces mild regulatory concerns
FMCG_HINDUNILVR,Analysts maintain outperform rating
FMCG_HINDUNILVR,Retail sales improve sequentially

FIN_ICICIBANK,ICICI Bank reports robust loan growth
FIN_ICICIBANK,Bank launches new digital credit feature
FIN_ICICIBANK,Asset quality remains strong
